Date,Time,RSSI(dB),RxBt(V),A2(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
1970-01-01,00:06:34.510,67,7.9,0.0,2033,40,38,382,-36,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:35.010,67,7.9,0.0,1773,8,40,1024,-6,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:35.510,68,7.9,0.0,1784,14,46,286,-24,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:36.010,68,7.9,0.0,1833,18,35,-367,-9,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:36.510,73,7.9,0.0,2013,6,6,397,-39,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:37.010,64,7.9,0.0,1815,5,-194,238,124,1024,614,492,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:37.510,70,7.9,0.0,1957,-136,50,413,-6,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:38.010,72,7.9,0.0,2052,2,124,376,-127,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:38.510,72,7.9,0.0,2077,6,3,322,-112,1024,614,492,-2,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:39.010,71,7.9,0.0,2068,6,-33,367,-7,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:39.510,74,7.9,0.0,2050,6,5,395,-9,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:40.010,71,7.9,0.0,2041,35,25,387,-65,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:40.510,68,7.9,0.0,2045,9,135,306,-60,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:07:49.240,74,7.9,0.0,0,6,5,107,-4,1024,614,600,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:07:49.730,73,7.9,0.0,0,6,6,95,-6,1024,614,600,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:07:50.230,72,7.9,0.0,0,6,6,94,-6,1024,614,600,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:07:50.730,72,7.9,0.0,0,6,6,94,-6,1024,614,600,-2,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:07:51.230,69,7.9,0.0,22,6,6,94,-6,1024,614,600,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:07:51.730,78,7.9,0.0,57,6,6,94,-6,1024,614,129,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
