Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
1970-01-01,00:07:21.700,1,2,52,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:22.200,1,1,45,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:22.700,1,1,44,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:23.200,1,1,44,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:23.700,1,2,44,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:24.200,1,0,44,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:24.700,1,55,44,-1024,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:25.200,1,2,44,-1024,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:25.700,1,4,45,-1024,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:26.200,1,74,44,-946,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:26.700,1,1,44,-1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:27.200,1,2,44,0,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:27.700,1,966,44,0,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:28.200,1,1024,44,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:28.700,1,-4,44,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:29.200,1,-60,44,3,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:29.700,1,-377,44,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:30.200,1,14,44,126,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:30.700,1,2,44,-154,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:31.200,1,1,44,0,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:31.700,2,2,892,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:32.200,2,1,-775,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:32.700,1,1,-1024,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:33.200,1,1,-356,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:33.700,1,1,-349,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:34.200,1,1,-349,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:34.700,1,1,-349,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:35.200,1,1,-349,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:35.700,1,2,-349,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:36.200,1,2,-118,0,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:36.700,0,2,-196,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:37.200,1,76,-712,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:37.700,1,180,-651,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:38.200,-106,20,-54,-44,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:38.700,-126,244,-509,-44,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:39.200,0,430,-72,-1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:39.700,1,2,-386,0,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:40.200,8,4,-378,1,1024,204,277,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:40.700,1,142,-329,-1,1024,204,277,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:41.200,1,3,-321,0,1024,204,277,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:41.700,1,3,-321,1,1024,204,277,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:42.200,1,2,-321,1,1024,204,277,0,-3,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
