Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),RPM(rpm),Tmp1(@C),Tmp2(@C),RB1C(mAh),RB2C(mAh),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2000-01-01,00:49:00.300,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:00.840,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,29,614,-181,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:01.390,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,30,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:01.930,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,29,614,-181,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:02.470,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:03.010,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:03.560,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:04.100,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:04.640,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,30,614,-181,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:05.180,0,0.0,0.00,0.0,0,0,0,0,0,3,-1024,1,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:05.730,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:06.270,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,30,614,-181,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:06.810,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,30,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:07.350,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:07.900,0,0.0,0.00,0.0,0,0,0,0,0,3,-1024,0,29,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:08.440,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:08.980,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:09.490,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:10.040,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:10.580,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,29,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:11.120,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:11.620,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:12.120,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:12.620,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:13.120,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:49:13.620,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
